"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Project reading.","68","readNewProjectTest","Test Rail Regression Test","Sun Jul 13 17:59:22 GMT 2025","broken","Sun Jul 13 17:59:22 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Milestone editing.","10245","checkEditMilestoneTest","Test Rail Regression Test","Sun Jul 13 17:59:41 GMT 2025","passed","Sun Jul 13 17:59:52 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","40260","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sun Jul 13 17:59:47 GMT 2025","passed","Sun Jul 13 18:00:27 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Project deletion.","1","deleteProjectByName","Test Rail Regression Test","Sun Jul 13 18:00:41 GMT 2025","broken","Sun Jul 13 18:00:41 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Project creation.","4857","checkCreateProjectTest","Test Rail Regression Test","Sun Jul 13 18:00:35 GMT 2025","passed","Sun Jul 13 18:00:40 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Project creation.","26","createNewProjectTest","Test Rail Regression Test","Sun Jul 13 17:59:22 GMT 2025","broken","Sun Jul 13 17:59:22 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Case deletion.","17391","checkDeleteTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:00:41 GMT 2025","passed","Sun Jul 13 18:00:59 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Test Case editing.","16593","checkEditTestCaseTest","Test Rail Regression Test","Sun Jul 13 17:59:24 GMT 2025","passed","Sun Jul 13 17:59:41 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Test Run creation.","6719","checkCreateTestRunTest","Test Rail Regression Test","Sun Jul 13 18:00:28 GMT 2025","passed","Sun Jul 13 18:00:34 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Run deletion.","8261","checkDeleteTestRunTest","Test Rail Regression Test","Sun Jul 13 18:00:59 GMT 2025","passed","Sun Jul 13 18:01:07 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Test Cases creation.","15042","checkCreateTestCaseTest","Test Rail Regression Test","Sun Jul 13 17:59:23 GMT 2025","passed","Sun Jul 13 17:59:38 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project editing.","6767","checkEditProjectTest","Test Rail Regression Test","Sun Jul 13 18:00:17 GMT 2025","passed","Sun Jul 13 18:00:24 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Test Run editing.","9650","checkEditTestRunTest","Test Rail Regression Test","Sun Jul 13 17:59:52 GMT 2025","passed","Sun Jul 13 18:00:02 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project deletion.","5836","checkDeleteProjectTest","Test Rail Regression Test","Sun Jul 13 18:01:08 GMT 2025","passed","Sun Jul 13 18:01:14 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Milestone creation.","8059","checkCreateMilestoneTest","Test Rail Regression Test","Sun Jul 13 17:59:38 GMT 2025","passed","Sun Jul 13 17:59:46 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project editing.","16","updateExistingProjectTest","Test Rail Regression Test","Sun Jul 13 17:59:24 GMT 2025","broken","Sun Jul 13 17:59:24 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
