"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Test Case deletion.","15709","checkDeleteTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:47:45 GMT 2025","passed","Sat Jul 19 11:48:00 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project editing.","966","updateExistingProjectTest","Test Rail Regression Test","Sat Jul 19 11:46:31 GMT 2025","passed","Sat Jul 19 11:46:32 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Project deletion.","4798","checkDeleteProjectTest","Test Rail Regression Test","Sat Jul 19 11:48:09 GMT 2025","passed","Sat Jul 19 11:48:14 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Milestone editing.","9065","checkEditMilestoneTest","Test Rail Regression Test","Sat Jul 19 11:46:49 GMT 2025","passed","Sat Jul 19 11:46:58 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Project creation.","3606","createNewProjectTest","Test Rail Regression Test","Sat Jul 19 11:46:27 GMT 2025","passed","Sat Jul 19 11:46:31 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Run deletion.","7829","checkDeleteTestRunTest","Test Rail Regression Test","Sat Jul 19 11:48:01 GMT 2025","passed","Sat Jul 19 11:48:09 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Project reading.","3624","readNewProjectTest","Test Rail Regression Test","Sat Jul 19 11:46:27 GMT 2025","passed","Sat Jul 19 11:46:31 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Project editing.","6122","checkEditProjectTest","Test Rail Regression Test","Sat Jul 19 11:47:08 GMT 2025","passed","Sat Jul 19 11:47:14 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","37339","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sat Jul 19 11:46:54 GMT 2025","passed","Sat Jul 19 11:47:31 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Test Run editing.","8996","checkEditTestRunTest","Test Rail Regression Test","Sat Jul 19 11:46:58 GMT 2025","passed","Sat Jul 19 11:47:07 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Test Case editing.","15578","checkEditTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:46:33 GMT 2025","passed","Sat Jul 19 11:46:48 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Milestone creation.","7151","checkCreateMilestoneTest","Test Rail Regression Test","Sat Jul 19 11:46:46 GMT 2025","passed","Sat Jul 19 11:46:53 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project deletion.","1716","deleteProjectByName","Test Rail Regression Test","Sat Jul 19 11:47:42 GMT 2025","passed","Sat Jul 19 11:47:44 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Test Run creation.","5884","checkCreateTestRunTest","Test Rail Regression Test","Sat Jul 19 11:47:31 GMT 2025","passed","Sat Jul 19 11:47:37 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Cases creation.","14205","checkCreateTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:46:31 GMT 2025","passed","Sat Jul 19 11:46:45 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project creation.","4437","checkCreateProjectTest","Test Rail Regression Test","Sat Jul 19 11:47:38 GMT 2025","passed","Sat Jul 19 11:47:42 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
