"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Project creation.","3514","createNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:41:00 GMT 2025","passed","Sat Jul 19 10:41:04 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Milestone creation.","11883","checkCreateMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:42:09 GMT 2025","broken","Sat Jul 19 10:42:21 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project creation.","4894","checkCreateProjectTest","Test Rail Regression Test","Sat Jul 19 10:43:41 GMT 2025","passed","Sat Jul 19 10:43:46 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Project editing.","6597","checkEditProjectTest","Test Rail Regression Test","Sat Jul 19 10:42:39 GMT 2025","passed","Sat Jul 19 10:42:46 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","12471","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sat Jul 19 10:42:48 GMT 2025","broken","Sat Jul 19 10:43:00 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Test Run creation.","10407","checkCreateTestRunTest","Test Rail Regression Test","Sat Jul 19 10:43:30 GMT 2025","failed","Sat Jul 19 10:43:40 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Project deletion.","2365","deleteProjectByName","Test Rail Regression Test","Sat Jul 19 10:43:46 GMT 2025","passed","Sat Jul 19 10:43:49 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Test Run deletion.","10406","checkDeleteTestRunTest","Test Rail Regression Test","Sat Jul 19 10:44:42 GMT 2025","failed","Sat Jul 19 10:44:53 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Milestone editing.","9183","checkEditMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:41:49 GMT 2025","passed","Sat Jul 19 10:41:58 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Test Case deletion.","9990","checkDeleteTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:44:10 GMT 2025","broken","Sat Jul 19 10:44:20 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Test Run editing.","10858","checkEditTestRunTest","Test Rail Regression Test","Sat Jul 19 10:42:28 GMT 2025","failed","Sat Jul 19 10:42:39 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project editing.","1159","updateExistingProjectTest","Test Rail Regression Test","Sat Jul 19 10:41:04 GMT 2025","passed","Sat Jul 19 10:41:06 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Test Case editing.","10726","checkEditTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:41:32 GMT 2025","broken","Sat Jul 19 10:41:42 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Test Cases creation.","10904","checkCreateTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:41:32 GMT 2025","broken","Sat Jul 19 10:41:43 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project deletion.","5765","checkDeleteProjectTest","Test Rail Regression Test","Sat Jul 19 10:44:58 GMT 2025","passed","Sat Jul 19 10:45:04 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Project reading.","3521","readNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:41:00 GMT 2025","passed","Sat Jul 19 10:41:04 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
