"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Project deletion.","5400","checkDeleteProjectTest","Test Rail Regression Test","Sun Jul 13 18:16:14 GMT 2025","passed","Sun Jul 13 18:16:20 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Project editing.","1503","updateExistingProjectTest","Test Rail Regression Test","Sun Jul 13 18:14:12 GMT 2025","passed","Sun Jul 13 18:14:14 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Project creation.","5403","checkCreateProjectTest","Test Rail Regression Test","Sun Jul 13 18:15:24 GMT 2025","passed","Sun Jul 13 18:15:30 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Test Case editing.","17022","checkEditTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:14:14 GMT 2025","passed","Sun Jul 13 18:14:31 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","38907","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sun Jul 13 18:14:37 GMT 2025","passed","Sun Jul 13 18:15:16 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Milestone editing.","10690","checkEditMilestoneTest","Test Rail Regression Test","Sun Jul 13 18:14:32 GMT 2025","passed","Sun Jul 13 18:14:43 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Test Case deletion.","17834","checkDeleteTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:15:34 GMT 2025","passed","Sun Jul 13 18:15:52 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project creation.","3515","createNewProjectTest","Test Rail Regression Test","Sun Jul 13 18:14:08 GMT 2025","passed","Sun Jul 13 18:14:12 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Cases creation.","15104","checkCreateTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:14:12 GMT 2025","passed","Sun Jul 13 18:14:27 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project editing.","6074","checkEditProjectTest","Test Rail Regression Test","Sun Jul 13 18:15:08 GMT 2025","broken","Sun Jul 13 18:15:14 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Test Run creation.","7356","checkCreateTestRunTest","Test Rail Regression Test","Sun Jul 13 18:15:16 GMT 2025","passed","Sun Jul 13 18:15:24 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Run deletion.","8694","checkDeleteTestRunTest","Test Rail Regression Test","Sun Jul 13 18:15:52 GMT 2025","passed","Sun Jul 13 18:16:01 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Test Run editing.","10458","checkEditTestRunTest","Test Rail Regression Test","Sun Jul 13 18:14:43 GMT 2025","passed","Sun Jul 13 18:14:54 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project reading.","3528","readNewProjectTest","Test Rail Regression Test","Sun Jul 13 18:14:08 GMT 2025","passed","Sun Jul 13 18:14:12 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Milestone creation.","8702","checkCreateMilestoneTest","Test Rail Regression Test","Sun Jul 13 18:14:28 GMT 2025","passed","Sun Jul 13 18:14:37 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project deletion.","3506","deleteProjectByName","Test Rail Regression Test","Sun Jul 13 18:15:30 GMT 2025","passed","Sun Jul 13 18:15:34 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
