"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Project editing.","5378","checkEditProjectTest","Test Rail Regression Test","Sun Jul 13 19:41:55 GMT 2025","passed","Sun Jul 13 19:42:01 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Test Run deletion.","8673","checkDeleteTestRunTest","Test Rail Regression Test","Sun Jul 13 19:43:17 GMT 2025","failed","Sun Jul 13 19:43:26 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Milestone editing.","7665","checkEditMilestoneTest","Test Rail Regression Test","Sun Jul 13 19:41:17 GMT 2025","passed","Sun Jul 13 19:41:25 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Test Run creation.","8718","checkCreateTestRunTest","Test Rail Regression Test","Sun Jul 13 19:42:17 GMT 2025","failed","Sun Jul 13 19:42:26 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Run editing.","9664","checkEditTestRunTest","Test Rail Regression Test","Sun Jul 13 19:41:45 GMT 2025","failed","Sun Jul 13 19:41:55 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project creation.","3777","checkCreateProjectTest","Test Rail Regression Test","Sun Jul 13 19:42:26 GMT 2025","passed","Sun Jul 13 19:42:30 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Test Case deletion.","8545","checkDeleteTestCaseTest","Test Rail Regression Test","Sun Jul 13 19:42:50 GMT 2025","broken","Sun Jul 13 19:42:58 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project deletion.","3768","checkDeleteProjectTest","Test Rail Regression Test","Sun Jul 13 19:43:27 GMT 2025","passed","Sun Jul 13 19:43:30 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Project deletion.","1213","deleteProjectByName","Test Rail Regression Test","Sun Jul 13 19:42:30 GMT 2025","passed","Sun Jul 13 19:42:31 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check that the test completes all necessary steps to set statuses for created test cases.","11200","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sun Jul 13 19:41:46 GMT 2025","broken","Sun Jul 13 19:41:57 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Test Case editing.","9540","checkEditTestCaseTest","Test Rail Regression Test","Sun Jul 13 19:41:02 GMT 2025","broken","Sun Jul 13 19:41:12 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Project editing.","655","updateExistingProjectTest","Test Rail Regression Test","Sun Jul 13 19:40:38 GMT 2025","passed","Sun Jul 13 19:40:39 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Project reading.","3446","readNewProjectTest","Test Rail Regression Test","Sun Jul 13 19:40:34 GMT 2025","passed","Sun Jul 13 19:40:38 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Test Cases creation.","9465","checkCreateTestCaseTest","Test Rail Regression Test","Sun Jul 13 19:41:02 GMT 2025","broken","Sun Jul 13 19:41:12 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Milestone creation.","5972","checkCreateMilestoneTest","Test Rail Regression Test","Sun Jul 13 19:41:17 GMT 2025","passed","Sun Jul 13 19:41:23 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project creation.","3437","createNewProjectTest","Test Rail Regression Test","Sun Jul 13 19:40:34 GMT 2025","passed","Sun Jul 13 19:40:38 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
