"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Project deletion.","1521","deleteProjectByName","Test Rail Regression Test","Sat Jul 19 11:42:33 GMT 2025","passed","Sat Jul 19 11:42:34 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Test Case editing.","16632","checkEditTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:41:14 GMT 2025","passed","Sat Jul 19 11:41:30 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Project deletion.","4403","checkDeleteProjectTest","Test Rail Regression Test","Sat Jul 19 11:42:58 GMT 2025","passed","Sat Jul 19 11:43:02 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Test Run creation.","6074","checkCreateTestRunTest","Test Rail Regression Test","Sat Jul 19 11:42:17 GMT 2025","passed","Sat Jul 19 11:42:23 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Run deletion.","7622","checkDeleteTestRunTest","Test Rail Regression Test","Sat Jul 19 11:42:50 GMT 2025","passed","Sat Jul 19 11:42:58 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Milestone editing.","9999","checkEditMilestoneTest","Test Rail Regression Test","Sat Jul 19 11:41:31 GMT 2025","passed","Sat Jul 19 11:41:41 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Project editing.","6160","checkEditProjectTest","Test Rail Regression Test","Sat Jul 19 11:41:57 GMT 2025","passed","Sat Jul 19 11:42:04 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Project editing.","781","updateExistingProjectTest","Test Rail Regression Test","Sat Jul 19 11:41:13 GMT 2025","passed","Sat Jul 19 11:41:13 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Test Cases creation.","12569","checkCreateTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:41:19 GMT 2025","passed","Sat Jul 19 11:41:32 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project creation.","4255","checkCreateProjectTest","Test Rail Regression Test","Sat Jul 19 11:42:28 GMT 2025","passed","Sat Jul 19 11:42:32 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","36075","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sat Jul 19 11:41:40 GMT 2025","passed","Sat Jul 19 11:42:17 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Milestone creation.","7557","checkCreateMilestoneTest","Test Rail Regression Test","Sat Jul 19 11:41:32 GMT 2025","passed","Sat Jul 19 11:41:40 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Test Run editing.","8451","checkEditTestRunTest","Test Rail Regression Test","Sat Jul 19 11:41:42 GMT 2025","passed","Sat Jul 19 11:41:50 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project creation.","3349","createNewProjectTest","Test Rail Regression Test","Sat Jul 19 11:41:08 GMT 2025","passed","Sat Jul 19 11:41:12 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Case deletion.","14921","checkDeleteTestCaseTest","Test Rail Regression Test","Sat Jul 19 11:42:35 GMT 2025","passed","Sat Jul 19 11:42:49 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project reading.","3361","readNewProjectTest","Test Rail Regression Test","Sat Jul 19 11:41:08 GMT 2025","passed","Sat Jul 19 11:41:12 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
