"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Test Case deletion.","8773","checkDeleteTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:58:19 GMT 2025","broken","Sun Jul 13 18:58:28 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","11184","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sun Jul 13 18:57:14 GMT 2025","broken","Sun Jul 13 18:57:25 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Test Cases creation.","9419","checkCreateTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:56:26 GMT 2025","broken","Sun Jul 13 18:56:35 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Milestone creation.","6263","checkCreateMilestoneTest","Test Rail Regression Test","Sun Jul 13 18:56:44 GMT 2025","passed","Sun Jul 13 18:56:50 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Project creation.","3794","checkCreateProjectTest","Test Rail Regression Test","Sun Jul 13 18:57:54 GMT 2025","passed","Sun Jul 13 18:57:58 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Test Run editing.","9861","checkEditTestRunTest","Test Rail Regression Test","Sun Jul 13 18:57:05 GMT 2025","failed","Sun Jul 13 18:57:15 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Project editing.","849","updateExistingProjectTest","Test Rail Regression Test","Sun Jul 13 18:56:05 GMT 2025","passed","Sun Jul 13 18:56:05 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
"Check Project reading.","3067","readNewProjectTest","Test Rail Regression Test","Sun Jul 13 18:56:01 GMT 2025","passed","Sun Jul 13 18:56:04 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Test Run deletion.","9247","checkDeleteTestRunTest","Test Rail Regression Test","Sun Jul 13 18:58:47 GMT 2025","failed","Sun Jul 13 18:58:56 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check Project deletion.","1573","deleteProjectByName","Test Rail Regression Test","Sun Jul 13 18:57:58 GMT 2025","passed","Sun Jul 13 18:58:00 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Project editing.","5885","checkEditProjectTest","Test Rail Regression Test","Sun Jul 13 18:57:16 GMT 2025","passed","Sun Jul 13 18:57:22 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Test Run creation.","9047","checkCreateTestRunTest","Test Rail Regression Test","Sun Jul 13 18:57:45 GMT 2025","failed","Sun Jul 13 18:57:54 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Project deletion.","4501","checkDeleteProjectTest","Test Rail Regression Test","Sun Jul 13 18:58:57 GMT 2025","passed","Sun Jul 13 18:59:01 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Milestone editing.","7792","checkEditMilestoneTest","Test Rail Regression Test","Sun Jul 13 18:56:36 GMT 2025","passed","Sun Jul 13 18:56:44 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Project creation.","3052","createNewProjectTest","Test Rail Regression Test","Sun Jul 13 18:56:01 GMT 2025","passed","Sun Jul 13 18:56:04 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Test Case editing.","9537","checkEditTestCaseTest","Test Rail Regression Test","Sun Jul 13 18:56:26 GMT 2025","broken","Sun Jul 13 18:56:36 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
