"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Test Case editing.","17279","checkEditTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:55:39 GMT 2025","passed","Sat Jul 19 10:55:56 GMT 2025","tests.ui.TestCaseTest","Mat","tests.ui.TestCaseTest","checkEditTestCaseTest"
"Check Test Run creation.","6167","checkCreateTestRunTest","Test Rail Regression Test","Sat Jul 19 10:56:37 GMT 2025","passed","Sat Jul 19 10:56:43 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkCreateTestRunTest"
"Check Test Run editing.","9432","checkEditTestRunTest","Test Rail Regression Test","Sat Jul 19 10:56:07 GMT 2025","passed","Sat Jul 19 10:56:16 GMT 2025","tests.ui.TestRunTest","Mat","tests.ui.TestRunTest","checkEditTestRunTest"
"Check Test Cases creation.","13664","checkCreateTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:55:37 GMT 2025","passed","Sat Jul 19 10:55:51 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkCreateTestCaseTest"
"Check Project deletion.","1878","deleteProjectByName","Test Rail Regression Test","Sat Jul 19 10:56:49 GMT 2025","passed","Sat Jul 19 10:56:50 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","deleteProjectByName"
"Check Project creation.","4368","checkCreateProjectTest","Test Rail Regression Test","Sat Jul 19 10:56:44 GMT 2025","passed","Sat Jul 19 10:56:48 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkCreateProjectTest"
"Check Milestone creation.","7109","checkCreateMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:55:51 GMT 2025","passed","Sat Jul 19 10:55:59 GMT 2025","tests.ui.MilestonesTest","Smoke","tests.ui.MilestonesTest","checkCreateMilestoneTest"
"Check Test Case deletion.","16592","checkDeleteTestCaseTest","Test Rail Regression Test","Sat Jul 19 10:56:51 GMT 2025","passed","Sat Jul 19 10:57:07 GMT 2025","tests.ui.TestCaseTest","Smoke","tests.ui.TestCaseTest","checkDeleteTestCaseTest"
"Check Project creation.","3546","createNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:55:33 GMT 2025","passed","Sat Jul 19 10:55:37 GMT 2025","tests.api.CRUDProjectTest","Smoke","tests.api.CRUDProjectTest","createNewProjectTest"
"Check Project deletion.","4549","checkDeleteProjectTest","Test Rail Regression Test","Sat Jul 19 10:57:16 GMT 2025","passed","Sat Jul 19 10:57:21 GMT 2025","tests.ui.ProjectTest","Smoke","tests.ui.ProjectTest","checkDeleteProjectTest"
"Check Project reading.","3556","readNewProjectTest","Test Rail Regression Test","Sat Jul 19 10:55:33 GMT 2025","passed","Sat Jul 19 10:55:37 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","readNewProjectTest"
"Check Project editing.","6290","checkEditProjectTest","Test Rail Regression Test","Sat Jul 19 10:56:17 GMT 2025","passed","Sat Jul 19 10:56:23 GMT 2025","tests.ui.ProjectTest","Mat","tests.ui.ProjectTest","checkEditProjectTest"
"Check Milestone editing.","9739","checkEditMilestoneTest","Test Rail Regression Test","Sat Jul 19 10:55:57 GMT 2025","passed","Sat Jul 19 10:56:06 GMT 2025","tests.ui.MilestonesTest","Mat","tests.ui.MilestonesTest","checkEditMilestoneTest"
"Check Test Run deletion.","7666","checkDeleteTestRunTest","Test Rail Regression Test","Sat Jul 19 10:57:08 GMT 2025","passed","Sat Jul 19 10:57:16 GMT 2025","tests.ui.TestRunTest","Smoke","tests.ui.TestRunTest","checkDeleteTestRunTest"
"Check that the test completes all necessary steps to set statuses for created test cases.","37751","createProjectWithRunsAndSetStatus","Test Rail Regression Test","Sat Jul 19 10:55:59 GMT 2025","passed","Sat Jul 19 10:56:37 GMT 2025","tests.ui.EndToEndTest","Smoke","tests.ui.EndToEndTest","createProjectWithRunsAndSetStatus"
"Check Project editing.","1001","updateExistingProjectTest","Test Rail Regression Test","Sat Jul 19 10:55:37 GMT 2025","passed","Sat Jul 19 10:55:38 GMT 2025","tests.api.CRUDProjectTest","Mat","tests.api.CRUDProjectTest","updateExistingProjectTest"
